Time Logged (UTC),Time Sent (UTC),From IP,To IP,Packet Type,System Type,CRC,DataSize,Success / Fail,Error Dump ID,Send / Receive,Log Comment
2022/03/31 01:52:55,2022/03/31 01:52:55,127.0.0.1,127.0.0.1,CREDENTIALS,CLIENTSYSTEM,12345,120,Unknown / Default Status,0,SEND,sending request for client creation
2022/03/31 01:58:02,2022/03/31 01:57:03,127.0.0.1,127.0.0.1,CREDENTIALS,CLIENTSYSTEM,12345,120,Unknown / Default Status,0,SEND,sending request for client creation
2022/03/31 02:00:07,2022/03/31 01:59:57,127.0.0.1,127.0.0.1,CREDENTIALS,CLIENTSYSTEM,12345,120,Unknown / Default Status,0,SEND,sending request for client creation
2022/03/31 02:06:25,2022/03/31 02:06:19,127.0.0.1,127.0.0.1,CREDENTIALS,CLIENTSYSTEM,12345,120,Unknown / Default Status,0,SEND,sending request for client creation
2022/03/31 02:07:50,2022/03/31 02:07:49,127.0.0.1,127.0.0.1,CREDENTIALS,CLIENTSYSTEM,12345,120,Unknown / Default Status,0,SEND,sending request for client creation
2022/03/31 02:17:44,2022/03/31 02:17:08,127.0.0.1,127.0.0.1,CREDENTIALS,CLIENTSYSTEM,12345,120,Unknown / Default Status,0,SEND,sending request for client creation
2022/03/31 02:24:00,2022/03/31 02:24:00,127.0.0.1,127.0.0.1,CREDENTIALS,CLIENTSYSTEM,12345,120,Unknown / Default Status,0,SEND,sending request for client creation
2022/03/31 02:24:49,2022/03/31 02:24:49,127.0.0.1,127.0.0.1,CREDENTIALS,CLIENTSYSTEM,12345,120,Unknown / Default Status,0,SEND,sending request for client creation
2022/03/31 02:26:28,2022/03/31 02:26:28,127.0.0.1,127.0.0.1,CREDENTIALS,CLIENTSYSTEM,12345,120,Unknown / Default Status,0,SEND,sending request for client creation
2022/03/31 02:29:45,2022/03/31 02:29:45,127.0.0.1,127.0.0.1,CREDENTIALS,CLIENTSYSTEM,12345,120,Unknown / Default Status,0,SEND,sending request for client creation
2022/03/31 02:33:20,2022/03/31 02:33:20,127.0.0.1,127.0.0.1,CREDENTIALS,CLIENTSYSTEM,12345,120,Unknown / Default Status,0,SEND,sending request for client creation
2022/03/31 02:34:35,2022/03/31 02:34:35,127.0.0.1,127.0.0.1,CREDENTIALS,CLIENTSYSTEM,12345,120,Unknown / Default Status,0,SEND,sending request for client creation
2022/03/31 02:35:58,2022/03/31 02:35:58,127.0.0.1,127.0.0.1,CREDENTIALS,CLIENTSYSTEM,12345,120,Unknown / Default Status,0,SEND,sending request for client creation
2022/03/31 02:37:01,2022/03/31 02:37:01,127.0.0.1,127.0.0.1,CREDENTIALS,CLIENTSYSTEM,12345,120,Unknown / Default Status,0,SEND,sending request for client creation
2022/03/31 02:38:57,2022/03/31 02:38:57,127.0.0.1,127.0.0.1,CREDENTIALS,CLIENTSYSTEM,12345,120,Unknown / Default Status,0,SEND,sending request for client creation
2022/03/31 02:44:05,2022/03/31 02:44:05,127.0.0.1,127.0.0.1,CREDENTIALS,CLIENTSYSTEM,12345,120,Unknown / Default Status,0,SEND,sending request for client creation
2022/03/31 02:48:09,2022/03/31 02:48:09,127.0.0.1,127.0.0.1,CREDENTIALS,CLIENTSYSTEM,12345,120,Unknown / Default Status,0,SEND,sending request for client creation
2022/03/31 02:49:09,2022/03/31 02:49:09,127.0.0.1,127.0.0.1,CREDENTIALS,CLIENTSYSTEM,12345,120,Unknown / Default Status,0,SEND,sending request for client creation
2022/03/31 02:49:49,2022/03/31 02:49:49,127.0.0.1,127.0.0.1,CREDENTIALS,CLIENTSYSTEM,12345,120,Unknown / Default Status,0,SEND,sending request for client creation
2022/03/31 02:50:21,2022/03/31 02:50:21,127.0.0.1,127.0.0.1,CREDENTIALS,CLIENTSYSTEM,12345,120,Unknown / Default Status,0,SEND,sending request for client creation
2022/03/31 02:51:33,2022/03/31 02:51:33,127.0.0.1,127.0.0.1,CREDENTIALS,CLIENTSYSTEM,12345,120,Unknown / Default Status,0,SEND,sending request for client creation
2022/03/31 02:52:36,2022/03/31 02:52:36,127.0.0.1,127.0.0.1,CREDENTIALS,CLIENTSYSTEM,12345,120,Unknown / Default Status,0,SEND,sending request for client creation
2022/03/31 03:02:09,2022/03/31 03:02:09,127.0.0.1,127.0.0.1,CREDENTIALS,CLIENTSYSTEM,12345,120,Unknown / Default Status,0,SEND,sending request for client creation
2022/03/31 03:03:44,2022/03/31 03:03:44,127.0.0.1,127.0.0.1,CREDENTIALS,CLIENTSYSTEM,12345,120,Unknown / Default Status,0,SEND,sending request for client creation
2022/03/31 03:07:01,2022/03/31 03:07:01,127.0.0.1,127.0.0.1,CREDENTIALS,CLIENTSYSTEM,12345,120,Unknown / Default Status,0,SEND,sending request for client creation
2022/03/31 03:08:18,2022/03/31 03:08:18,127.0.0.1,127.0.0.1,CREDENTIALS,CLIENTSYSTEM,12345,120,Unknown / Default Status,0,SEND,sending request for client creation
2022/03/31 03:08:30,2022/03/31 03:08:30,127.0.0.1,127.0.0.1,CREDENTIALS,CLIENTSYSTEM,12345,120,Unknown / Default Status,0,SEND,sending request for client creation
2022/03/31 03:48:55,2022/03/31 03:48:55,127.0.0.1,127.0.0.1,CREDENTIALS,CLIENTSYSTEM,12345,120,Unknown / Default Status,0,SEND,sending request for client creation
