Time Logged (UTC),Time Sent (UTC),From IP,To IP,Packet Type,System Type,CRC,DataSize,Success / Fail,Error Dump ID,Send / Receive,Log Comment
2022/03/28 23:28:33,2022/03/28 23:28:33,127.0.0.1,127.0.0.1,2,SERVERSYSTEM,12345,120,Unknown / Default Status,0,RECEIVE,test log for log into csv
2022/03/28 23:28:33,2022/03/28 23:28:33,127.0.0.1,127.0.0.1,1,SERVERSYSTEM,12345,352,Unknown / Default Status,0,RECEIVE,test log for client into csv
2022/03/28 23:28:33,,127.0.0.1,127.0.0.1,4,CLIENTSYSTEM,12345,96,Unknown / Default Status,0,SEND,test log for transaction
2022/03/28 23:28:33,,127.0.0.1,127.0.0.1,3,CLIENTSYSTEM,12345,32,Unknown / Default Status,0,SEND,test log for account
2022/03/28 23:32:20,2022/03/28 23:32:20,127.0.0.1,127.0.0.1,2,SERVERSYSTEM,12345,120,Unknown / Default Status,0,RECEIVE,test log for log into csv
2022/03/28 23:32:20,2022/03/28 23:32:20,127.0.0.1,127.0.0.1,1,SERVERSYSTEM,12345,352,Unknown / Default Status,0,RECEIVE,test log for client into csv
2022/03/28 23:32:20,2022/03/28 23:32:20,127.0.0.1,127.0.0.1,4,CLIENTSYSTEM,12345,96,Unknown / Default Status,0,SEND,test log for transaction
2022/03/28 23:32:20,2022/03/28 23:32:20,127.0.0.1,127.0.0.1,3,CLIENTSYSTEM,12345,32,Unknown / Default Status,0,SEND,test log for account
2022/03/28 23:33:46,2022/03/28 23:33:46,127.0.0.1,127.0.0.1,2,SERVERSYSTEM,12345,120,Unknown / Default Status,0,RECEIVE,test log for log into csv
2022/03/28 23:33:46,2022/03/28 23:33:46,127.0.0.1,127.0.0.1,1,SERVERSYSTEM,12345,352,Unknown / Default Status,0,RECEIVE,test log for client into csv
2022/03/28 23:33:46,2022/03/28 23:33:46,127.0.0.1,127.0.0.1,4,CLIENTSYSTEM,12345,96,Unknown / Default Status,0,SEND,test log for transaction
2022/03/28 23:33:46,2022/03/28 23:33:46,127.0.0.1,127.0.0.1,3,CLIENTSYSTEM,12345,32,Unknown / Default Status,0,SEND,test log for account
2022/03/28 23:36:48,2022/03/28 23:36:48,127.0.0.1,127.0.0.1,2,SERVERSYSTEM,12345,120,Unknown / Default Status,0,RECEIVE,test log for log into csv
2022/03/28 23:36:48,2022/03/28 23:36:48,127.0.0.1,127.0.0.1,1,SERVERSYSTEM,12345,352,Unknown / Default Status,0,RECEIVE,test log for client into csv
2022/03/28 23:36:48,2022/03/28 23:36:48,127.0.0.1,127.0.0.1,4,CLIENTSYSTEM,12345,96,Unknown / Default Status,0,SEND,test log for transaction
2022/03/28 23:36:48,2022/03/28 23:36:48,127.0.0.1,127.0.0.1,3,CLIENTSYSTEM,12345,32,Unknown / Default Status,0,SEND,test log for account
2022/03/29 13:42:20,2022/03/29 13:42:20,127.0.0.1,127.0.0.1,2,SERVERSYSTEM,12345,120,Unknown / Default Status,0,RECEIVE,test log for log into csv
2022/03/29 13:42:20,2022/03/29 13:42:20,127.0.0.1,127.0.0.1,1,SERVERSYSTEM,12345,352,Unknown / Default Status,0,RECEIVE,test log for client into csv
2022/03/29 13:42:20,2022/03/29 13:42:20,127.0.0.1,127.0.0.1,4,CLIENTSYSTEM,12345,96,Unknown / Default Status,0,SEND,test log for transaction
2022/03/29 13:42:20,2022/03/29 13:42:20,127.0.0.1,127.0.0.1,3,CLIENTSYSTEM,12345,32,Unknown / Default Status,0,SEND,test log for account
2022/03/29 13:42:41,2022/03/29 13:42:41,127.0.0.1,127.0.0.1,2,SERVERSYSTEM,12345,120,Unknown / Default Status,0,RECEIVE,test log for log into csv
2022/03/29 13:42:41,2022/03/29 13:42:41,127.0.0.1,127.0.0.1,1,SERVERSYSTEM,12345,352,Unknown / Default Status,0,RECEIVE,test log for client into csv
2022/03/29 13:42:41,2022/03/29 13:42:41,127.0.0.1,127.0.0.1,4,CLIENTSYSTEM,12345,96,Unknown / Default Status,0,SEND,test log for transaction
2022/03/29 13:42:41,2022/03/29 13:42:41,127.0.0.1,127.0.0.1,3,CLIENTSYSTEM,12345,32,Unknown / Default Status,0,SEND,test log for account
2022/03/29 13:43:35,2022/03/29 13:43:35,127.0.0.1,127.0.0.1,2,SERVERSYSTEM,12345,120,Unknown / Default Status,0,RECEIVE,test log for log into csv
2022/03/29 13:43:35,2022/03/29 13:43:35,127.0.0.1,127.0.0.1,1,SERVERSYSTEM,12345,352,Unknown / Default Status,0,RECEIVE,test log for client into csv
2022/03/29 13:43:35,2022/03/29 13:43:35,127.0.0.1,127.0.0.1,4,CLIENTSYSTEM,12345,96,Unknown / Default Status,0,SEND,test log for transaction
2022/03/29 13:43:35,2022/03/29 13:43:35,127.0.0.1,127.0.0.1,3,CLIENTSYSTEM,12345,32,Unknown / Default Status,0,SEND,test log for account
2022/03/29 13:44:27,2022/03/29 13:44:27,127.0.0.1,127.0.0.1,2,SERVERSYSTEM,12345,120,Unknown / Default Status,0,RECEIVE,test log for log into csv
2022/03/29 13:44:27,2022/03/29 13:44:27,127.0.0.1,127.0.0.1,1,SERVERSYSTEM,12345,352,Unknown / Default Status,0,RECEIVE,test log for client into csv
2022/03/29 13:44:27,2022/03/29 13:44:27,127.0.0.1,127.0.0.1,4,CLIENTSYSTEM,12345,96,Unknown / Default Status,0,SEND,test log for transaction
2022/03/29 13:44:27,2022/03/29 13:44:27,127.0.0.1,127.0.0.1,3,CLIENTSYSTEM,12345,32,Unknown / Default Status,0,SEND,test log for account
2022/03/29 14:00:07,2022/03/29 14:00:07,127.0.0.1,127.0.0.1,2,SERVERSYSTEM,12345,120,Unknown / Default Status,0,RECEIVE,test log for log into csv
2022/03/29 14:00:07,2022/03/29 14:00:07,127.0.0.1,127.0.0.1,1,SERVERSYSTEM,12345,352,Unknown / Default Status,0,RECEIVE,test log for client into csv
2022/03/29 14:00:07,2022/03/29 14:00:07,127.0.0.1,127.0.0.1,4,CLIENTSYSTEM,12345,96,Unknown / Default Status,0,SEND,test log for transaction
2022/03/29 14:00:07,2022/03/29 14:00:07,127.0.0.1,127.0.0.1,3,CLIENTSYSTEM,12345,32,Unknown / Default Status,0,SEND,test log for account
2022/03/29 14:01:09,2022/03/29 14:01:09,127.0.0.1,127.0.0.1,2,SERVERSYSTEM,12345,120,Unknown / Default Status,0,RECEIVE,test log for log into csv
2022/03/29 14:01:09,2022/03/29 14:01:09,127.0.0.1,127.0.0.1,1,SERVERSYSTEM,12345,352,Unknown / Default Status,0,RECEIVE,test log for client into csv
2022/03/29 14:01:09,2022/03/29 14:01:09,127.0.0.1,127.0.0.1,4,CLIENTSYSTEM,12345,96,Unknown / Default Status,0,SEND,test log for transaction
2022/03/29 14:01:09,2022/03/29 14:01:09,127.0.0.1,127.0.0.1,3,CLIENTSYSTEM,12345,32,Unknown / Default Status,0,SEND,test log for account
2022/03/29 14:02:02,2022/03/29 14:02:02,127.0.0.1,127.0.0.1,2,SERVERSYSTEM,12345,120,Unknown / Default Status,0,RECEIVE,test log for log into csv
2022/03/29 14:02:02,2022/03/29 14:02:02,127.0.0.1,127.0.0.1,1,SERVERSYSTEM,12345,352,Unknown / Default Status,0,RECEIVE,test log for client into csv
2022/03/29 14:02:02,2022/03/29 14:02:02,127.0.0.1,127.0.0.1,4,CLIENTSYSTEM,12345,96,Unknown / Default Status,0,SEND,test log for transaction
2022/03/29 14:02:02,2022/03/29 14:02:02,127.0.0.1,127.0.0.1,3,CLIENTSYSTEM,12345,32,Unknown / Default Status,0,SEND,test log for account
2022/03/29 14:12:39,2022/03/29 14:12:39,127.0.0.1,127.0.0.1,2,SERVERSYSTEM,12345,120,Unknown / Default Status,0,RECEIVE,test log for log into csv
2022/03/29 14:12:39,2022/03/29 14:12:39,127.0.0.1,127.0.0.1,1,SERVERSYSTEM,12345,352,Unknown / Default Status,0,RECEIVE,test log for client into csv
2022/03/29 14:12:39,2022/03/29 14:12:39,127.0.0.1,127.0.0.1,4,CLIENTSYSTEM,12345,96,Unknown / Default Status,0,SEND,test log for transaction
