Time Logged (UTC),Time Sent (UTC),From IP,To IP,Packet Type,System Type,CRC,DataSize,Success / Fail,Error Dump ID,Send / Receive,Log Comment
2022/03/31 07:19:57,2022/03/31 07:19:57,127.0.0.1,127.0.0.1,CREDENTIALS,CLIENTSYSTEM,12345,120,Unknown / Default Status,0,SEND,Sending request for login
2022/03/31 07:19:57,2022/03/31 07:19:57,127.0.0.1,127.0.0.1,STARTUPACCOUNTINFO,CLIENTSYSTEM,0,64,Success,0,RECEIVE,Recieve response for login
2022/03/31 07:20:20,2022/03/31 07:20:20,127.0.0.1,127.0.0.1,TRANSACTION,CLIENTSYSTEM,12345,96,Unknown / Default Status,0,SEND,Sending request for deposit
2022/03/31 07:20:20,2022/03/31 07:20:20,127.0.0.1,127.0.0.1,TRANSACTION,CLIENTSYSTEM,0,0,Success,0,RECEIVE,Recving response for deposit
2022/03/31 07:20:32,2022/03/31 07:20:32,127.0.0.1,127.0.0.1,TRANSACTION,CLIENTSYSTEM,12345,96,Unknown / Default Status,0,SEND,Sending request for deposit
2022/03/31 07:20:32,2022/03/31 07:20:32,127.0.0.1,127.0.0.1,TRANSACTION,CLIENTSYSTEM,0,0,Success,0,RECEIVE,Recving response for deposit
2022/03/31 07:20:35,2022/03/31 07:20:35,127.0.0.1,127.0.0.1,ACCOUNT,CLIENTSYSTEM,12345,32,Unknown / Default Status,0,SEND,Sending request for view account info
2022/03/31 07:20:35,2022/03/31 07:20:35,127.0.0.1,127.0.0.1,CLIENT,CLIENTSYSTEM,12345,352,Success,0,RECEIVE,Recving response for view account info
2022/03/31 07:20:52,2022/03/31 07:20:52,127.0.0.1,127.0.0.1,TRANSACTION,CLIENTSYSTEM,12345,96,Unknown / Default Status,0,SEND,Sending request for e-transfer
2022/03/31 07:20:53,2022/03/31 07:20:53,127.0.0.1,127.0.0.1,TRANSACTION,CLIENTSYSTEM,0,0,Success,0,RECEIVE,Recving response for e-transfer
2022/03/31 07:21:04,2022/03/31 07:21:04,127.0.0.1,127.0.0.1,TRANSACTION,CLIENTSYSTEM,12345,96,Unknown / Default Status,0,SEND,Sending request for transfer between my accounts
2022/03/31 07:21:04,2022/03/31 07:21:04,127.0.0.1,127.0.0.1,TRANSACTION,CLIENTSYSTEM,0,0,Success,0,RECEIVE,Recving response for transfer between my accounts
2022/03/31 07:21:52,2022/03/31 07:21:52,127.0.0.1,127.0.0.1,LOGOFF,CLIENTSYSTEM,12345,32,Unknown / Default Status,0,SEND,Sending request for account log off
2022/03/31 07:21:52,2022/03/31 07:21:52,127.0.0.1,127.0.0.1,LOGOFF,CLIENTSYSTEM,0,0,Success,0,RECEIVE,Recving response for log off
2022/03/31 07:22:21,2022/03/31 07:22:21,127.0.0.1,127.0.0.1,CREATEACCOUNT,CLIENTSYSTEM,12345,464,Unknown / Default Status,0,SEND,Sending request for account creation
2022/03/31 07:22:51,,,,OBJECTNULL,CLIENTSYSTEM,0,0,Unknown / Default Status,0,RECEIVE,Recving response for account creation
2022/03/31 07:22:55,2022/03/31 07:22:55,127.0.0.1,127.0.0.1,CREATEACCOUNT,CLIENTSYSTEM,12345,464,Unknown / Default Status,0,SEND,Sending request for account creation
2022/03/31 07:23:25,,,,OBJECTNULL,CLIENTSYSTEM,0,0,Unknown / Default Status,0,RECEIVE,Recving response for account creation
2022/03/31 07:23:44,2022/03/31 07:23:44,127.0.0.1,127.0.0.1,CREATEACCOUNT,CLIENTSYSTEM,12345,464,Unknown / Default Status,0,SEND,Sending request for account creation
2022/03/31 07:25:20,2022/03/31 07:25:20,127.0.0.1,127.0.0.1,CREDENTIALS,CLIENTSYSTEM,12345,120,Unknown / Default Status,0,SEND,Sending request for login
2022/03/31 07:25:20,2022/03/31 07:25:20,127.0.0.1,127.0.0.1,STARTUPACCOUNTINFO,CLIENTSYSTEM,0,64,Success,0,RECEIVE,Recieve response for login
2022/03/31 07:25:35,2022/03/31 07:25:35,127.0.0.1,127.0.0.1,TRANSACTION,CLIENTSYSTEM,12345,96,Unknown / Default Status,0,SEND,Sending request for deposit
2022/03/31 07:25:35,2022/03/31 07:25:35,127.0.0.1,127.0.0.1,TRANSACTION,CLIENTSYSTEM,0,0,Success,0,RECEIVE,Recving response for deposit
2022/03/31 07:25:49,2022/03/31 07:25:49,127.0.0.1,127.0.0.1,TRANSACTION,CLIENTSYSTEM,12345,96,Unknown / Default Status,0,SEND,Sending request for deposit
2022/03/31 07:25:49,2022/03/31 07:25:49,127.0.0.1,127.0.0.1,TRANSACTION,CLIENTSYSTEM,0,0,Success,0,RECEIVE,Recving response for deposit
2022/03/31 07:25:58,2022/03/31 07:25:58,127.0.0.1,127.0.0.1,TRANSACTION,CLIENTSYSTEM,12345,96,Unknown / Default Status,0,SEND,Sending request for e-transfer
2022/03/31 07:25:58,2022/03/31 07:25:58,127.0.0.1,127.0.0.1,TRANSACTION,CLIENTSYSTEM,0,0,Success,0,RECEIVE,Recving response for e-transfer
2022/03/31 07:26:07,2022/03/31 07:26:07,127.0.0.1,127.0.0.1,TRANSACTION,CLIENTSYSTEM,12345,96,Unknown / Default Status,0,SEND,Sending request for e-transfer
2022/03/31 07:26:07,2022/03/31 07:26:07,127.0.0.1,127.0.0.1,TRANSACTION,CLIENTSYSTEM,0,0,Success,0,RECEIVE,Recving response for e-transfer
2022/03/31 07:26:11,2022/03/31 07:26:11,127.0.0.1,127.0.0.1,ACCOUNT,CLIENTSYSTEM,12345,32,Unknown / Default Status,0,SEND,Sending request for view account info
2022/03/31 07:26:11,2022/03/31 07:26:11,127.0.0.1,127.0.0.1,CLIENT,CLIENTSYSTEM,12345,352,Success,0,RECEIVE,Recving response for view account info
2022/03/31 07:26:18,2022/03/31 07:26:18,127.0.0.1,127.0.0.1,TRANSACTION,CLIENTSYSTEM,12345,96,Unknown / Default Status,0,SEND,Sending request for transfer between my accounts
2022/03/31 07:26:19,2022/03/31 07:26:19,127.0.0.1,127.0.0.1,TRANSACTION,CLIENTSYSTEM,0,0,Success,0,RECEIVE,Recving response for transfer between my accounts
